Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn
SK Salzgitter,A05-A14,W,1,0,03/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,W,1,0,03/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,W,1,0,05/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,W,1,0,08/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,W,5,0,08/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,W,1,0,09/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,W,3,0,10/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,W,1,0,11/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,W,1,0,11/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,W,2,0,12/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,W,1,0,13/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,W,1,0,13/11/2020 00:00,0,-9,-9,0,1
SK Braunschweig,A35-A59,M,3,0,01/11/2020 00:00,0,-9,0,3,0
SK Braunschweig,A35-A59,M,1,0,02/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,1,0,02/11/2020 00:00,0,-9,1,1,0
SK Braunschweig,A35-A59,M,3,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,8,0,04/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,6,0,05/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,3,0,06/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,3,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,4,0,08/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,1,0,10/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,12,0,11/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,10,0,12/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,4,0,13/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,M,7,0,14/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,3,0,01/11/2020 00:00,0,-9,0,3,0
SK Braunschweig,A35-A59,W,7,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,9,0,04/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,1,0,05/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,16,0,06/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,3,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,3,0,08/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,2,0,09/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,6,0,10/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,11,0,11/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,5,0,12/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,3,0,13/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A35-A59,W,8,0,14/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,2,0,01/11/2020 00:00,0,-9,0,2,0
SK Braunschweig,A60-A79,M,2,0,04/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,1,0,05/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,4,0,06/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,3,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,1,0,08/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,1,0,09/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,4,0,11/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,2,0,12/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,1,0,13/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,M,1,0,14/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,2,0,01/11/2020 00:00,0,-9,0,2,0
SK Braunschweig,A60-A79,W,2,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,2,0,04/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,2,0,05/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,8,0,06/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,2,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,1,0,08/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,1,0,09/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,4,0,10/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,2,0,11/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,1,0,12/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,1,0,13/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A60-A79,W,2,0,14/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,M,2,0,02/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,M,1,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,M,1,0,06/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,M,1,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,M,1,0,09/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,M,2,0,14/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,W,1,0,01/11/2020 00:00,0,-9,0,1,0
SK Braunschweig,A80+,W,2,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,W,1,0,04/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,W,8,0,06/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,W,1,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A80+,W,2,0,09/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A00-A04,M,2,0,02/11/2020 00:00,0,-9,1,2,0
SK Salzgitter,A00-A04,M,1,0,07/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A00-A04,M,1,0,07/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A00-A04,M,1,0,07/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A00-A04,M,3,0,08/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A00-A04,M,1,0,13/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A00-A04,M,2,0,14/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A00-A04,W,1,0,01/11/2020 00:00,0,-9,0,1,0
SK Salzgitter,A00-A04,W,1,0,02/11/2020 00:00,0,-9,1,1,0
SK Salzgitter,A00-A04,W,1,0,08/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A00-A04,W,1,0,09/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A00-A04,W,1,0,11/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A00-A04,W,1,0,11/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A00-A04,W,1,0,13/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,02/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,M,2,0,03/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,2,0,04/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,06/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,08/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,M,10,0,08/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,09/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,M,2,0,09/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,10/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,M,1,0,10/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,11/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,M,1,0,11/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,M,1,0,12/11/2020 00:00,0,-9,1,1,1
SK Salzgitter,A05-A14,M,1,0,12/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,M,1,0,12/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,M,4,0,12/11/2020 00:00,0,-9,-9,0,0
SK Salzgitter,A05-A14,M,1,0,13/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,M,1,0,14/11/2020 00:00,0,-9,-9,0,1
SK Salzgitter,A05-A14,W,1,0,01/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,W,1,0,02/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,W,1,0,02/11/2020 00:00,0,-9,0,1,1
SK Salzgitter,A05-A14,W,3,0,02/11/2020 00:00,0,-9,1,3,0
SK Braunschweig,A00-A04,M,1,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A00-A04,M,1,0,05/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A00-A04,M,2,0,07/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A00-A04,M,2,0,14/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A00-A04,W,1,0,01/11/2020 00:00,0,-9,0,1,0
SK Braunschweig,A05-A14,M,1,0,01/11/2020 00:00,0,-9,0,1,0
SK Braunschweig,A05-A14,M,2,0,03/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A05-A14,M,1,0,04/11/2020 00:00,0,-9,-9,0,0
SK Braunschweig,A05-A14,M,2,0,06/11/2020 00:00,0,-9,-9,0,0
